epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,2.946996831893921,0.07603686635944701,0.026782571364374258,2.913437098264694,0.12903225806451613,0.053047091412742386
2,2.8625138542868873,0.20506912442396313,0.1571794226676475,2.7256907522678375,0.532258064516129,0.4425486793907847
3,2.577820552479137,0.6428571428571429,0.5841163181640009,2.376991033554077,0.7903225806451613,0.7532239690134427
4,2.235407098856839,0.8410138248847926,0.8153560307254667,2.065280854701996,0.8225806451612904,0.8035981562297352
5,1.9255153872750022,0.9032258064516129,0.8952634538385212,1.8184417337179184,0.8387096774193549,0.82523558313032
6,1.7006973374973644,0.9193548387096774,0.9076784842069268,1.6416891068220139,0.8387096774193549,0.8257917521075416
7,1.52006507136605,0.9423963133640553,0.9352734513452317,1.5190711468458176,0.8387096774193549,0.828265886160623
8,1.3813943429426714,0.9539170506912442,0.9512807166994194,1.4379325956106186,0.8387096774193549,0.8293005240373662
9,1.309946556524797,0.9400921658986175,0.9367182591887373,1.3888385891914368,0.8387096774193549,0.8293005240373662
10,1.2698353897441517,0.9493087557603687,0.9428153809982769,1.3772026747465134,0.8387096774193549,0.8293005240373662
