epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,3.41183818470348,0.07142857142857142,0.05677204317741606,2.669308215379715,0.4032258064516129,0.37238784607205655
2,2.6058632720600476,0.2857142857142857,0.27017954768836483,2.3232639729976654,0.5967741935483871,0.5383306751727804
3,2.2041882103139705,0.4216589861751152,0.4096532542133848,2.0691788345575333,0.6612903225806451,0.6126262626262625
4,1.7809599421241067,0.5967741935483871,0.5918716650138341,1.890122041106224,0.6290322580645161,0.5727106227106227
5,1.4401664853096008,0.7096774193548387,0.720280341743236,1.7396845668554306,0.7580645161290323,0.715052783473836
6,1.3219252662225203,0.7880184331797235,0.7980672034625115,1.6647291630506516,0.7419354838709677,0.7052783473836105
7,1.1516130913387645,0.8870967741935484,0.8908078141485154,1.5760553628206253,0.7741935483870968,0.7379357484620642
8,1.093216254494407,0.8894009216589862,0.8932268491147582,1.541889637708664,0.7741935483870968,0.7571200729095465
9,1.025396053357558,0.9170506912442397,0.9218325169665075,1.5338972210884094,0.7741935483870968,0.7312468233520866
10,1.0174029317769138,0.9354838709677419,0.9346454392189196,1.4752656370401382,0.7903225806451613,0.7747778537252221
11,0.9773983651941472,0.9539170506912442,0.9518766511168085,1.4537234008312225,0.8064516129032258,0.7716716032505506
12,0.9452217838980935,0.9516129032258065,0.9494589961698375,1.438308522105217,0.8387096774193549,0.8303865724918357
13,0.9099519935521212,0.9746543778801844,0.9753173916773941,1.4335140585899353,0.8064516129032258,0.7940685045948204
14,0.9233282815326344,0.9654377880184332,0.9590139918131023,1.4250233247876167,0.8225806451612904,0.8141186299081036
15,0.9290460705757141,0.9631336405529954,0.9604074478099516,1.4738266095519066,0.8225806451612904,0.785421888053467
16,0.9139694062146273,0.9654377880184332,0.9645863759646252,1.429211474955082,0.8064516129032258,0.7702589807852965
17,0.8897452105175365,0.9861751152073732,0.9863283874752781,1.4474903270602226,0.8387096774193549,0.833348522822207
18,0.8711994225328619,0.9815668202764977,0.9811717935644736,1.4364852607250214,0.8064516129032258,0.7684362421204526
19,0.8812427477403121,0.9815668202764977,0.9830466566341677,1.418738529086113,0.8387096774193549,0.8003113845219109
20,0.8679517388343811,0.9769585253456221,0.9754342770667319,1.4329228401184082,0.8064516129032258,0.7785296574770261
21,0.8642985972491177,0.9861751152073732,0.9880436129903165,1.3849672675132751,0.8387096774193549,0.8003113845219109
22,0.8593699130144986,0.988479262672811,0.9913347347035372,1.3702505081892014,0.8225806451612904,0.790704032809296
23,0.8509114254604686,0.9907834101382489,0.9931875231752462,1.3842494785785675,0.8387096774193549,0.8003113845219109
24,0.8531659689816562,0.988479262672811,0.9876148597132036,1.3771189451217651,0.8225806451612904,0.7915394546973493
25,0.872186069055037,0.988479262672811,0.9879020252811358,1.41421477496624,0.8064516129032258,0.780944786207944
26,0.8375437671487982,0.9930875576036866,0.994497307872008,1.3992899283766747,0.8225806451612904,0.7890845996109154
27,0.8530163526535034,0.988479262672811,0.9893411880163158,1.3738354295492172,0.8225806451612904,0.794395078605605
28,0.8566123236309399,0.9930875576036866,0.9934274272503567,1.3812383562326431,0.8225806451612904,0.7894508999772157
29,0.8590608976104043,0.9861751152073732,0.9832076077431026,1.387298583984375,0.8225806451612904,0.7964684438368648
30,0.846267143162814,0.9930875576036866,0.9919854319487124,1.4211511015892029,0.8064516129032258,0.780944786207944
31,0.8392550099979748,0.9907834101382489,0.991987314929231,1.393934354186058,0.8225806451612904,0.7894508999772157
32,0.8501793677156622,0.9930875576036866,0.9930396645715722,1.397124633193016,0.8225806451612904,0.7911369332421964
